상품번호,상품명,최소인원,교통편,지
99,[가고시마 골프] 일본 기리시마 캐슬 료칸 온천 & 다카치호 CC 2박 3일~,2인,불포함|자유항공|항공포함요금,인천 
98,[가고시마 골프]일본 라비스타 기리시마 **프라이빗 온천 료칸 골프텔 2박 36홀**,2인,불포함|자유항공|항공포함요금,인천 
97,[후쿠오카 골프]일본 후쿠오카 다색 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
96,[후쿠오카 골프]일본 후쿠오카 시내 골프 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
95,[미야카지 골프]일본 미야자키 특급 호텔 명문 골프,2인,불포함|자유항공|항공포함요금,인천 
94,[후쿠오카 골프]일본 후쿠오카 가성비 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
93,[가고시마 골프]일본 가고시마 명문 골프장 케도인 CC,2인,불포함|자유항공|항공포함요금,인천 
92,[광저우 골프]중국 골프투어 3색 골프패키지,2인,항공 포함,인천 
91,[광저우 골프]중국 겨울 골프 쉐라톤 특급 호텔 사자호 CC,2인,항공 포함,인천 
90,[오키나와 골프]일본 겨울 골프여행 시내,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
89,[가고시마 골프]일본 겨울 골프 가고시마 시내 추천,2인,불포함|자유항공|항공포함요금,인천 
88,[가고시마 골프]일본 가고시마 이브스키 고품격 힐링 온천,2인,불포함|자유항공|항공포함요금,인천 
87,[가고시마 골프]일본 가고시마 썬로얄 시내 골프 자유관광 패키지 여행,2인,불포함|자유항공|항공포함요금,인천 
86,[가고시마 골프]일본 온천 가을 겨울 골프패키지,2인,불포함|자유항공|항공포함요금,인천 
85,[프놈펜 골프]캄보디아 골프여행 5성급 호텔,2인,항공 포함,인천 
84,[후쿠오카 골프]일본 료칸 온천골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
83,[라오스 골프]라오스 다색 골프패키지 3박5일,2인,항공 포함,인천 
82,[오키나와 골프]일본 골프패키지 하얏트 호텔 3박4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
81,[오키나와] 실속 2박3일 시내골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
80,[호치민] 풀빌라 골프 3박5일,2인,항공 포함,인천 / 김해 
79,[후쿠오카 골프]일본 골프투어 프라이빗 온천료칸 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
78,[시라차] 방콕 공항에서 50분 시내중심,2인,항공 포함,인천 / 김해 / 청주
77,[나리타 골프]일본 여행 나리타 유락조 온천,2인,항공 포함,인천 / 김해 / 청주
76,[미야자키 골프]일본 골프 패키지 투어 2박3일 부터,2인,불포함|자유항공|항공포함요금,인천 
75,[치앙마이]하이랜드/알파인/메조 VIP,2인,항공 포함,인천 / 김해 / 청주
74,[시즈오카 골프]일본 후지산 뷰 골프패키지 2박 3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 
73,[파타야] 방콕 골프여행 올포함 3색 차량12시간 사용,2인,항공 포함|자유항공,인천 / 김해 / 청주
72,[방콕]태국 시내 골프 수쿰빗 시내호텔 3색 골프,2인,항공 포함|자유항공,인천 / 김해 / 청주
71,[제남 곡부]중국 4박5일 매일정 36홀 골드우C.C,2인,항공 포함,인천 
70,[오비히로골프]청주 직항 골프여행  사호로 리조트 3박4일 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
69,[청도골프]중국 골프 3색 쉐라톤 5성급 2박3일,2인,항공 포함,인천 / 김해 / 청주
68,[고베골프]일본 아리마 온천 골프여행 2박3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 
67,[다낭골프]베트남 몽고메리 최고급 리조트 골프여행,2인,항공 포함,인천 / 김해 / 청주
66,[북해도골프]LPGA개최 샤토레제 온천 골프 여행 3박4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
65,[북해도골프]고품격 니도무 골프텔 패키지 2박3일 패키,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
